id,text,created_at,place,coordinates
974675015969931264,"Our staff help design, build, and maintain some of the weather stations that are part of the TexMesonet, a network https://t.co/ZXpcAXyGKj",Fri Mar 16 15:53:27 +0000 2018,None,None
974291637517082625,"It's National Groundwater Awareness Week! Watch this short video and learn how to test, tend, and treat your well. https://t.co/wko7TkkQnb",Thu Mar 15 14:30:02 +0000 2018,None,None
974291629082324993,Start gathering your #txwindmills and #txwatertowers photos for our 2018 #roadtrip in July! #tbt to last years ran https://t.co/G5cOJWQ9ho,Thu Mar 15 14:30:00 +0000 2018,None,None
973942269328920577,RT @twdb_kathleen: This week is @NGWAtweets National Groundwater Awareness Week! Learn more at https://t.co/waRHZk9JBi. #GWAW2018 https://t,Wed Mar 14 15:21:46 +0000 2018,None,None
973942175544348674,We'll have an exhibit at the Texas Water 2018 conference in San Antonio April 23-26. Staff will be available to ans https://t.co/J3WlnpmQfI,Wed Mar 14 15:21:24 +0000 2018,None,None
973929241120202752,We are holding the first State Flood Assessment stakeholder workshop on March 27 from 10 a.m. to 12 p.m. at the https://t.co/7QnnfQ2xwg,Wed Mar 14 14:30:00 +0000 2018,None,None
973566853292281858,"Our next water loss audit workshop will be held on March 19 at the @NTMWD Training Room, 505 E. Brown St. in Wylie https://t.co/zYhndnpQRd",Tue Mar 13 14:30:00 +0000 2018,None,None
973548165692567552,RT @AgriLifeExtTWON: It is National Groundwater Awareness Week! Always a good time for well owners to do your annual test. Find other ways,Tue Mar 13 13:15:45 +0000 2018,None,None
973226218408628224,Rainfall in the NE quarter of TX added more than 1.2 million acre-feet to our water supply reservoirs during Feb. https://t.co/ys0crY48eF,Mon Mar 12 15:56:26 +0000 2018,None,None
973204467641327616,Interested in developing maps and exploring the role of #txwater? @txgeoed @TXST @Esri are hosting the 2nd Annual A https://t.co/a2ww1W5kAb,Mon Mar 12 14:30:01 +0000 2018,None,None
972864734151180289,Mark your calendars! @NGWAtweets National Groundwater Awareness Week is March 11-17. This years theme: Test. Tend. https://t.co/o4qAWaewan,Sun Mar 11 16:00:02 +0000 2018,None,None
972509550862655488,RT @twdb_peter: Congratulations to @twdb_Jeff! Well deserved! https://t.co/35DZjDMAns,Sat Mar 10 16:28:39 +0000 2018,None,None
972217694182354944,"RT @twdb_kathleen: The road to #HarveyRecovery continues &amp; @twdb is here to assist! @TWDB committed $700,000 in disaster recovery principal",Fri Mar 09 21:08:55 +0000 2018,None,None
